  24.469  -12.896  -11.429
   8.897   23.058  -11.939
 -18.249    6.981    5.698
 -14.384   19.337  -34.425
   2.858  -17.847   -0.153
  23.582    2.960   22.753
  -1.072   21.976  -33.990
  24.415  -24.352  -15.384
  11.307    5.382   -2.528
   9.390   11.200    2.204
 -18.977    0.083  -21.564
  -6.481   11.541   42.021
 -15.772   18.170  -37.476
 -17.378   -5.273   -8.369
 -12.715   -1.943  -39.131
  -1.584   22.545    8.646
   5.640   -6.831   28.862
 -11.835  -17.400  -25.852
  22.184   24.920   26.342
   5.552  -21.689    1.357
   0.805  -16.763  -40.269
  24.471  -24.420   -0.497
  -8.427   24.786    9.242
  -0.798  -20.460   18.935
 -19.064   19.419  -37.829
  16.947   -2.262   -6.440
 -15.284   13.967  -24.313
  22.926    3.976   26.303
   9.993  -23.192  -33.987
  10.640   -0.556   -1.822
  19.563   14.474  -27.758
 -20.194  -19.573   12.057
   2.316   19.468   42.373
 -15.090   10.356    0.026
  -3.902    1.420    8.297
   1.760   12.926   -0.890
 -15.434   23.080  -29.096
  -8.575   22.106   36.383
 -22.007   19.513  -28.335
   1.406   21.387   32.768
  -6.001    1.153  -24.439
  -5.858   -9.693   20.064
   6.349  -16.910  -27.113
  22.486    3.979   18.795
  24.558   -2.485   -0.931
  22.744  -11.855  -34.759
  -5.407    5.818   28.568
  18.523    7.923   27.998
  16.806  -17.018   18.842
  -7.667  -22.565   38.412
  22.800   12.259  -24.734
   9.624   15.296  -34.149
   1.506   -5.345   21.248
  10.311   -1.940  -21.856
  -3.869  -21.769   -7.246
  10.805   24.748  -17.096
   8.062   -7.981  -27.639
   0.191   -1.744  -38.106
  -2.253   -8.640   22.278
  -3.279    8.003   27.000
 -24.623    6.583   -3.707
  -0.017   -9.482   -2.289
  -2.205  -14.251   36.060
  10.001  -10.010   17.631
 -14.864   -5.892    7.239
 -11.244   17.688   42.351
  17.476  -22.045   32.414
 -20.222  -23.713   20.587
 -22.067    4.880   37.851
 -19.701   22.204  -19.553
  -9.733   -8.960   18.096
  13.633   -9.216  -18.178
  12.761   14.900  -24.489
 -17.923   13.732  -28.618
  18.150    5.937  -35.176
  15.144   19.776  -14.811
  -6.446   -1.875   11.522
 -17.006   -0.904  -42.201
  13.773   -2.928  -12.909
  20.855   -4.290   33.421
  -9.667  -17.654  -21.982
  11.249  -12.452   -9.308
  -4.076   10.194  -22.626
   8.970   17.837  -20.458
  19.640    7.702  -12.978
  13.602   -3.852    0.769
   3.670  -17.726   -6.685
 -20.366   14.321   23.679
 -22.701    0.443   19.911
   6.246  -24.673    9.511
  20.037   16.819   18.959
  19.419  -17.655    3.177
  20.139    7.726  -22.712
 -18.948  -13.972  -22.876
